inputs,labels,predictions
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Hrópað á heiminn
assistant
",Screaming at the world,"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Hrópað á heiminn
assistant
Translated to English, ""Hrópað á heiminn"" means ""Polluted the world""."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Markaðsherferðin Looks Like You Need Iceland þykir hafa farið vel af stað og hróp og köll úti í náttúrunni eru farin að toga í fólk vítt og breitt um heiminn.
assistant
","The marketing campaign Looks Like You Need Iceland is considered to have gone off to a good start, and screaming and yelling in nature is beginning to pull in people all over the world.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Markaðsherferðin Looks Like You Need Iceland þykir hafa farið vel af stað og hróp og köll úti í náttúrunni eru farin að toga í fólk vítt og breitt um heiminn.
assistant
Markaðsherferðin Looks Like You Need Iceland thinks that things have gone well and the cries and calls out in nature are starting to calm down in people all over the world."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: „Þið eigið kollgátuna, ég þarfnast Íslands,“ segir kona nokkur úti í hinum stóra heimi í athugasemdum við auglýsingu úr markaðsherferðinni Looks Like You Need Iceland á efnisveitunni YouTube.
assistant
","""You're right, I need Iceland,"" says a woman somewhere in the world in the comments for an advertisement from the Looks Like You Need Iceland marketing campaign on YouTube.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: „Þið eigið kollgátuna, ég þarfnast Íslands,“ segir kona nokkur úti í hinum stóra heimi í athugasemdum við auglýsingu úr markaðsherferðinni Looks Like You Need Iceland á efnisveitunni YouTube.
assistant
“ You don't know the drill, I need Iceland,” says a woman in the big world in comments to an ad from the Looks Like You Need Iceland campaign on the YouTube content channel."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Annar áhorfandi kveðst munu varðveita Ísland í hjarta sér um alla eilífð og ung kona segist beinlínis verða að komast sem fyrst til Íslands enda sé unnusti hennar búsettur þar.
assistant
","Another viewer says they will keep Iceland in their heart for all eternity, and a young woman says she literally has to get to Iceland as soon as possible as her fiancé resides there.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Annar áhorfandi kveðst munu varðveita Ísland í hjarta sér um alla eilífð og ung kona segist beinlínis verða að komast sem fyrst til Íslands enda sé unnusti hennar búsettur þar.
assistant
Another spectator vows to preserve Iceland in his heart for all eternity and a young woman says she will get to Iceland as soon as possible because it is her most beloved place."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Til allrar óhamingju er hún hins vegar í Bandaríkjunum og gerir því ráð fyrir að þurfa að bíða í einhverja mánuði enn.
assistant
","Unfortunately, she's in the United States so she expects to have to wait for another few months.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Til allrar óhamingju er hún hins vegar í Bandaríkjunum og gerir því ráð fyrir að þurfa að bíða í einhverja mánuði enn.
assistant
To everyone's disappointment, she is in the United States and will have to wait a few months."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Enn einn áhorfandi spyr hvort gönguleiðin til Íslands sé fær, því engar séu flugvélarnar.
assistant
","Yet another viewer asks whether the walking route to Iceland is clear, because there are no aeroplanes.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Enn einn áhorfandi spyr hvort gönguleiðin til Íslands sé fær, því engar séu flugvélarnar.
assistant
Another viewer asks if the road to Iceland is open, as no planes are flying."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Ekki fylgir sögunni hvort hann kemur úr öðru tímabelti.
assistant
",It is left unsaid whether this person is from another time zone.,"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Ekki fylgir sögunni hvort hann kemur úr öðru tímabelti.
assistant
It doesn't follow the story whether he comes from another time period."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Egill Þórðarson hjá auglýsingastofunni Peel, sem kom að gerð auglýsinganna ásamt alþjóðlegu auglýsingastofunni M&C Saatchi, segir viðtökur hafa verið vonum framar.
assistant
","Egill Þórðarson at the advertising agency Peel, who was involved in making the advertisements along with the international advertising agency M&C Saatchi, says that the response has exceeded all expectations.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Egill Þórðarson hjá auglýsingastofunni Peel, sem kom að gerð auglýsinganna ásamt alþjóðlegu auglýsingastofunni M&C Saatchi, segir viðtökur hafa verið vonum framar.
assistant
Egill Þórðarson at the advertising agency Peel, which worked on the ads together with the international advertising agency M&C Saatchi, says that the interviews have been a success."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: „Ég kom að mörgum Inspired By Iceland-herferðum sem gengið hafa mjög vel en þessi nýja herferð er þegar farin að slá met.
assistant
","""I was involved in many Inspired by Iceland campaigns that have been very successful but this new campaign is already breaking records.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: „Ég kom að mörgum Inspired By Iceland-herferðum sem gengið hafa mjög vel en þessi nýja herferð er þegar farin að slá met.
assistant
“ I have been on many Inspired By Iceland trips which have gone very well but this new trip is already beating the record."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Í grunninn snýst þetta um að búa til PR-gildi, það er að fá erlenda fjölmiðla til að fjalla um herferðina, og það hefur gengið ótrúlega vel.
assistant
","This basically revolves around creating PR value, that is to get foreign media to cover the campaign, and that has been incredibly successful.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Í grunninn snýst þetta um að búa til PR-gildi, það er að fá erlenda fjölmiðla til að fjalla um herferðina, og það hefur gengið ótrúlega vel.
assistant
This is about creating PR value, getting foreign media to talk about the trip, and that has gone incredibly well."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Á tiltölulega skömmum tíma höfum við fengið umfjöllun í um sjö hundruð fjölmiðlum um allan heim sem samtals ná til ríflega tveggja milljarða manna.
assistant
","In a relatively short time, we have received coverage in about 700 media outlets all over the world, with a combined audience of over two billion.","system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Á tiltölulega skömmum tíma höfum við fengið umfjöllun í um sjö hundruð fjölmiðlum um allan heim sem samtals ná til ríflega tveggja milljarða manna.
assistant
In a relatively short time, we have received coverage in over seven hundred media outlets around the world, reaching a total of roughly two billion people."
"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Verðmæti þeirrar umfjöllunar er verðlagt á 1,8 milljarða króna.
assistant
",The value of this coverage is estimated at ISK 1.8 billion.,"system
You are a helpful AI assistant for translations

user
Translate Icelandic to English: Verðmæti þeirrar umfjöllunar er verðlagt á 1,8 milljarða króna.
assistant
The value of that coverage is estimated at 1.8 billion kronur."
