inputs,labels,predictions
"<|im_start|> user
Translate English to Icelandic: India's PM to attend temple groundbreaking at disputed site 
<|im_start|> assistant",Forsætisráðherra Indlands mun mæta í skóflustungu fyrir byggingu hofs á umdeildum stað,"<|im_start|> user
Translate English to Icelandic: India's PM to attend temple groundbreaking at disputed site 
<|im_start|> assistant A India's PM will attend a temple groundbreaking at a disputed site"
"<|im_start|> user
Translate English to Icelandic: NEW DELHI (AP) - Indian Prime Minister Narendra Modi will attend a groundbreaking ceremony next month for a Hindu temple on a disputed site in northern India where a 16th century mosque was torn down by Hindu hard-liners in 1992, according to the trust overseeing the temple construction. 
<|im_start|> assistant","NÝJA-DELÍ (AP) – Narendra Modi, forsætisráðherra Indlands, verður viðstaddur skóflustunguathöfn fyrir byggingu hindútrúarhofs á umdeildum stað í Norður-Indlandi, þar sem moska frá 16. öld var rifin niður af strangtrúuðum hindúum árið 1992, að sögn samtakanna sem hafa umsjón með byggingu hofsins.","<|im_start|> user
Translate English to Icelandic: NEW DELHI (AP) - Indian Prime Minister Narendra Modi will attend a groundbreaking ceremony next month for a Hindu temple on a disputed site in northern India where a 16th century mosque was torn down by Hindu hard-liners in 1992, according to the trust overseeing the temple construction. 
<|im_start|> assistant A Indian Prime Minister Narendra Modi will attend a groundbreaking ceremony next month for a Hindu temple on a disputed site in northern India where a 16th century mosque was torn down by Hindu hard-liners in 1992, according to the trust overseeing the temple construction."
"<|im_start|> user
Translate English to Icelandic: The ceremony is set for Aug. 5, a date organizers said was astrologically auspicious for Hindus but that also marks a year since the Indian Parliament revoked the semi-autonomous status of its only Muslim-majority state, Jammu and Kashmir. 
<|im_start|> assistant","Athöfnin á að fara fram 5. ágúst, en skipuleggjendur segja þá dagsetningu boða lukku fyrir hindúa samkvæmt stjörnuspeki auk þess sem þá er ár liðið frá því að indverska þingið afnam sérstaka sjálfstjórnarstöðu eina ríkisins þar sem múslimar eru í meirihluta íbúa, Jammu og Kasmír.","<|im_start|> user
Translate English to Icelandic: The ceremony is set for Aug. 5, a date organizers said was astrologically auspicious for Hindus but that also marks a year since the Indian Parliament revoked the semi-autonomous status of its only Muslim-majority state, Jammu and Kashmir. 
<|im_start|> assistant Að ceremoníuðin er setnt til 5. ágúst, en hverjaðar dagur er aðallega ástrologiska ófærsýn for hindur, en það er aðallega en markaðið er eina ár, sínniðindi Índíu parlamentar síðarfræðistofa Kashmir, Jammu og Kashmir, sem er allt áttið en Muslim-majority staður."
"<|im_start|> user
Translate English to Icelandic: The symbolism was impossible to miss for both supporters and opponents of Modi's Hindu nationalist Bharatiya Janata Party, or BJP, whose manifesto had for decades included pledges to strip restive Kashmir's autonomy and to build a temple to the Hindu god Ram where the Mughal-era mosque once stood, a site in the city of Ayodhya in Uttar Pradesh state that devotees believe to be Ram's birthplace. 
<|im_start|> assistant","Symbólisminn í dagsetningarvalinu var augljós bæði stuðningsmönnum og andstæðingum hins þjóðernissinnaða hindúflokks Modi, Bharatiya Janata-flokksins, eða BJP, en flokkurinn hefur áratugum saman haft það að stefnu sinni að afnema sjálfstjórn Kasmírs og byggja hof hindúguðsins Ram þar sem moskan frá tímum Mógúlveldisins stóð eitt sinn, í Ayodhya-borg í ríkinu Uttar Pradesh sem trúarfólk telur vera fæðingarstað Ram.","<|im_start|> user
Translate English to Icelandic: The symbolism was impossible to miss for both supporters and opponents of Modi's Hindu nationalist Bharatiya Janata Party, or BJP, whose manifesto had for decades included pledges to strip restive Kashmir's autonomy and to build a temple to the Hindu god Ram where the Mughal-era mosque once stood, a site in the city of Ayodhya in Uttar Pradesh state that devotees believe to be Ram's birthplace. 
<|im_start|> assistant Að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna það að það eru ekki mögulegur að vinna"
"<|im_start|> user
Translate English to Icelandic: Because the coronavirus is still rampaging across India, which has reported the world's third-highest caseload, the ceremony will be broadcast live on state television and the number of participants and spectators will be limited, according to Vishwa Hindu Parishad, or the World Hindu Organization, a Hindu nationalist group allied with the BJP. 
<|im_start|> assistant","Kórónuveiran er enn skæð víða í Indlandi, en þar greinist þriðji mesti fjöldi tilfella á heimsvísu, og því verður athöfnin send beint út í ríkissjónvarpinu og fjöldi þátttakenda og áhorfenda verður takmarkaður, samkvæmt Vishwa Hindu Parishadm, eða heimssamtökum hindúa, þjóðræknum hóp sem hefur tengsl við BJP.","<|im_start|> user
Translate English to Icelandic: Because the coronavirus is still rampaging across India, which has reported the world's third-highest caseload, the ceremony will be broadcast live on state television and the number of participants and spectators will be limited, according to Vishwa Hindu Parishad, or the World Hindu Organization, a Hindu nationalist group allied with the BJP. 
<|im_start|> assistant Að það er að ramma í Indi, en það er landið fyrstuðu á landið sem eruður fæðingur í heimisverslunum, en það er að ramma í Indi, en það er landið fyrstuðu á landið sem eruður fæðingur í heimisverslunum, en það er að ramma í Indi, en það er landið fyrstuðu á landið sem eruður fæðingur í heimisverslunum, en það er að ramma í Indi, en það er landið fyrstuðu á landið sem eruður fæðingur í heimisverslunum, en það er að ramma í Indi, en það er landið fyrstuðu á landið sem eruður fæðingur í heimis"
"<|im_start|> user
Translate English to Icelandic: The temple will serve as ""an enduring and immortal beaming center of social harmony, national unity and integration and awakening of the feeling of Hindutva,"" or Hindu way of life, the organization's spokesperson Vinod Bansal said in a news release Saturday. 
<|im_start|> assistant","Hofið á að verða „varanleg og ódauðleg, ljómandi miðstöð félagslegs samhljóms, þjóðareiningar og samlögunar og vakningar tilfinningarinnar um Hindutva,“ eða hindúlífernis, sagði Vinod Bansal, talsmaður samtakanna, í fréttatilkynningu á laugardaginn.","<|im_start|> user
Translate English to Icelandic: The temple will serve as ""an enduring and immortal beaming center of social harmony, national unity and integration and awakening of the feeling of Hindutva,"" or Hindu way of life, the organization's spokesperson Vinod Bansal said in a news release Saturday. 
<|im_start|> assistant A temple will be built as ""a lasting and immortal shining center of social harmony, national unity and integration and awakening of the feeling of Hindutva,"" or Hindu way of life, the organization's spokesperson Vinod Bansal said in a news release Saturday."
"<|im_start|> user
Translate English to Icelandic: A century-long dispute over the site was resolved last year following the BJP's landslide election victory. 
<|im_start|> assistant",Leyst var úr aldarlöngum ágreiningi um staðsetninguna í fyrra eftir öruggan kosningasigur BJP.,"<|im_start|> user
Translate English to Icelandic: A century-long dispute over the site was resolved last year following the BJP's landslide election victory. 
<|im_start|> assistant A century-long dispute over the site was resolved last year following the BJP's landslide election victory."
"<|im_start|> user
Translate English to Icelandic: In November, the Supreme Court ruled in favor of the temple trust, saying that Muslim petitions would be given five acres at an alternative site. 
<|im_start|> assistant",Í nóvember úrskurðaði hæstiréttur samtökum hofsins í vil og sagði að múslimar fengju fimm ekrur á öðrum stað.,"<|im_start|> user
Translate English to Icelandic: In November, the Supreme Court ruled in favor of the temple trust, saying that Muslim petitions would be given five acres at an alternative site. 
<|im_start|> assistant Aðalráðuneytið rannsóknarar ársins 2017 aðalráðuneytið rannsóknarar ársins 2017"
"<|im_start|> user
Translate English to Icelandic: Hindus hard-liners have long contended that Mughal Muslim invaders built a mosque on top of a preexisting temple in the ancient city of Ayodya. 
<|im_start|> assistant",Strangtrúaðir hindúar hafa lengið haldið því fram að múslimskir innrásarmenn Mógúlveldisins hafi byggt mosku ofan á hof sem þar var fyrir í hinni fornu Ayodya-borg.,"<|im_start|> user
Translate English to Icelandic: Hindus hard-liners have long contended that Mughal Muslim invaders built a mosque on top of a preexisting temple in the ancient city of Ayodya. 
<|im_start|> assistant A Hindus hard-liners have long contended that Mughal Muslim invaders built a mosque on top of a preexisting temple in the ancient city of Ayodya."
"<|im_start|> user
Translate English to Icelandic: A December 1992 riot following the destruction of the mosque sparked communal violence in which about 2,000 people were killed, mostly Muslims. 
<|im_start|> assistant","Óreiðir í desember 1992 í kjölfar niðurrifs moskunnar leiddu til ofbeldis í samfélaginu þar sem um 2000 létust, flestir þeirra múslimar.","<|im_start|> user
Translate English to Icelandic: A December 1992 riot following the destruction of the mosque sparked communal violence in which about 2,000 people were killed, mostly Muslims. 
<|im_start|> assistant A December 1992 riot following the destruction of the mosque sparked communal violence in which about 2,000 people were killed, mostly Muslims."
